station_id,station_num,station_name,gu,address,lat,lon,monthly_usage,total_rent,total_return,rent_202507,rent_202508,rent_202509,rent_202510,rent_202511
ST-2092,2092,2092.흑석한강푸르지오(110동),동작구,서울특별시 도봉구 노해로70길 37 주공19단지아파트 ,37.650406,127.0522,357.4,1787,205,409,375,340,318,345
ST-2398,2398,2398. 더라움,강남구,서울특별시 양천구 신정동 332-2 ,37.515156,126.87249,356,1780,1229,412,396,353,347,272
ST-1466,1466,1466.두산대림아파트 삼거리,중랑구,서울특별시 도봉구 해등로 218 쌍문현대1차아파트 108동 앞,37.65815,127.032669,355.6,1778,2337,378,364,432,337,267
ST-137,137,137. 신촌기차역입구 교차로,서대문구,서울특별시 중구 을지로 66 한국외환은행 본점 앞,37.565464,126.984138,354.2,1771,1186,285,382,381,301,422
ST-2270,2270,2270. 서초포레스타 7단지,서초구,서울특별시 동대문구 망우로 74 ,37.589676,127.061516,354,1770,1783,348,342,434,358,288
ST-2825,2825,2825.초롱타운 앞,구로구,서울특별시 은평구 은평구 응암로 278 맞은편(응암동 767-1 공원 앞) ,37.596127,126.919624,352.4,1762,1745,343,345,419,323,332
ST-1213,1213,1213. 백토공원 앞,송파구,서울특별시 성북구 한천로 713 래미안장위퍼스트하이 ,37.621407,127.051971,351.8,1759,1716,389,382,407,297,284
ST-3114,3114,3114.충정로역 3번 출구,서대문구,서울특별시 서대문구 홍은동 387-61 ,37.577168,126.929062,347.8,1739,1266,432,362,347,292,306
ST-1181,1181,1181. 농수산식품공사 (강서지사),강서구,서울특별시 강남구 삼성로 156 대치역 사거리,37.494499,127.063797,347.4,1737,1775,341,351,383,325,337
ST-953,953,953. 서울연신초등학교,은평구,서울특별시 강남구 영동대로 647 청담역 2번출구,37.519787,127.056763,346.4,1732,1403,254,357,404,389,328
ST-2094,2094,2094.숭실대학교(중문) ,동작구,서울특별시 도봉구 도봉로150길 43 ESA 아파트 ,37.666271,127.04599,344.8,1724,380,336,392,322,330,344
ST-857,857,857. 현대 안성타워,용산구,서울특별시 중랑구 동일로 지하 797 중랑구 중화동 50-3,37.602077,127.079582,343.4,1717,569,396,450,297,207,367
ST-2285,2285,2285. LH서초3단지 301동 맞은편,서초구,서울특별시 중랑구 동일로 815 ,37.603054,127.079002,342.8,1714,1750,360,322,408,333,291
ST-1137,1137,1137. 등촌2동주민센터,강서구,서울특별시 노원구 창동 74-2 창동역 2번출구,37.653015,127.046997,342.6,1713,955,471,300,345,344,253
ST-479,479,479.동대입구역 3번 출구,중구,서울특별시 은평구 역촌동 45-34 역촌파출소,37.604736,126.915337,342.4,1712,1668,331,314,369,358,340
ST-1188,1188,1188. 롯데중앙연구소,강서구,서울특별시 서대문구 신촌로 235-1 북성초교,37.557396,126.952164,339.8,1699,1865,373,319,385,285,337
ST-2281,2281,2281. 서울교통공사 사당별관 건너편,서초구,서울특별시 동대문구 전농로 168 서울동부교육지원청 ,37.579838,127.056374,339.6,1698,1638,330,318,379,353,318
ST-2329,2329,2329. 르네상스호텔사거리 역삼지하보도 2번출구,강남구,서울특별시 성동구 하왕십리동 903-1 ,37.564262,127.029327,338.8,1694,1598,417,341,333,355,248
ST-2609,2609,2609. 보성중고등학교 후문 앞,송파구,서울특별시 송파구 신천동 6 ,37.521484,127.100281,338.6,1693,1557,280,280,455,384,294
ST-469,469,469.회현역 1번출구,중구,서울특별시 은평구 진관동 242-14 신도고등학교,37.630016,126.919029,338,1690,1615,359,349,381,294,307
ST-196,196,196. 연희교차로 인근,서대문구,서울특별시 중구 장충동2가 200-99 장충체육관,37.558533,127.006989,336.2,1681,1549,363,358,324,313,323
ST-442,442,442.서울역 서부,중구,서울특별시 용산구 서빙고로 279 서빙고동 주민센터 앞,37.520336,126.994263,335.8,1679,1739,355,348,390,279,307
ST-1058,1058,1058. 고덕숲 아이파크 1,강동구,서울특별시 강동구 동남로79길 46 서울묘곡초등학교 ,37.559162,127.15332,335.8,1679,1435,336,321,407,345,270
ST-2065,2065,2065. 서울시여성가족재단,동작구,서울특별시 노원구 한글비석로 479 보람아파트1단지 ,37.664207,127.064606,334.6,1673,1788,321,339,399,327,287
ST-679,679,679.전농SK아파트 앞,동대문구,서울특별시 구로구 개봉로3길 87 구로구 개봉동 375-4,37.486061,126.852013,333.4,1667,1414,384,335,395,283,270
ST-2210,2210,2210. 반포1동 주민센터 앞,서초구,서울특별시 서대문구 연희동 747-3 ,37.575642,126.927826,333.4,1667,1134,360,309,350,319,329
ST-1546,1546,1546. 송천동우체국,강북구,서울특별시 관악구 신림동 518 ,37.486824,126.912834,333.4,1667,2307,341,320,376,344,286
ST-1366,1366,1366. 일신초등학교 옆,성북구,서울특별시 강남구 봉은사로 지하 201 sk 동우주유소 앞,37.509586,127.040909,331.8,1659,1903,404,342,294,349,270
ST-159,159,159. 이대역 4번 출구,서대문구,서울특별시 종로구 충신동 60 ,37.575611,127.0047,331.6,1658,1072,307,286,310,389,366
ST-808,808,808. 서빙고동 금호맨션 앞,용산구,서울특별시 강남구 도곡로 447 대치동 버거킹대치점,37.49865,127.059319,330.6,1653,1698,178,246,384,450,395
ST-1728,1728,1728. 서울북부지방법원,도봉구,서울특별시 송파구 백제고분로 187 삼전역 1번출구,37.504711,127.087563,330.2,1651,1591,359,326,396,279,291
ST-1053,1053,1053. 동명근린공원 진입로 (아리수로),강동구,서울특별시 강동구 명일동 48-25 ,37.551991,127.153313,328.8,1644,1660,350,365,385,264,280
ST-1463,1463,1463.중랑구민회관,중랑구,서울특별시 도봉구 도봉동 282-16 ,37.68763,127.042213,325.6,1628,1685,376,266,375,330,281
ST-1038,1038,1038. 강일 다솜 어린이 공원,강동구,서울특별시 은평구 불광동 400-4번지 서울연신중학교,37.62265,126.925247,324.2,1621,1992,329,334,373,300,285
ST-2406,2406,2406. 논현동 광명빌딩 앞,강남구,서울특별시 성북구 하월곡동 225-5 ,37.608665,127.03627,324,1620,1114,344,383,356,308,229
ST-2057,2057,2057. 상도 아이파크 아파트,동작구,서울특별시 강서구 마곡동 811-6 ,37.572975,126.832443,323,1615,817,301,283,327,351,353
ST-3109,3109,3109.북한산더? 106동 앞,서대문구,서울특별시 강남구 도곡로 177-2 ,37.491074,127.036194,323,1615,1539,342,357,369,294,253
ST-2235,2235,2235.KT 서초지사 앞,서초구,서울특별시 성북구 정릉로 325-1 ,37.602425,127.019981,319.4,1597,955,278,360,380,241,338
ST-1542,1542,1542. 삼양사거리역,강북구,서울특별시 동작구 시흥대로 646 미스터가이드양복전문점,37.489399,126.907112,317.8,1589,1431,382,328,327,285,267
ST-1823,1823,1823. W컨템포오피스텔앞,금천구,서울특별시 종로구 무악동 32-3 ,37.575016,126.95755,316.8,1584,609,254,364,389,297,280
ST-1558,1558,1558.강북문화정보도서관,강북구,서울특별시 서초구 헌릉로8길 10-12 힐스테이트서초젠트리스,37.455879,127.058167,316.6,1583,968,397,319,310,278,279
ST-2363,2363,2363. 강남 을지병원 교차로,강남구,서울특별시 동작구 사당로 272 삼보빌딩 ,37.48378,126.977921,316.4,1582,1528,298,288,382,303,311
ST-470,470,470.회현역 7번출구,중구,서울특별시 은평구 대조동 227-2 연신내역 4번출구,37.617802,126.921967,316.4,1582,1436,294,257,365,301,365
ST-1263,1263,1263. 장지공영차고지,송파구,서울특별시 광진구 천호대로 지하 550 군자역 7번출구 뒤,37.556862,127.07914,315.6,1578,1735,359,255,308,337,319
ST-1943,1943,1943. 온수역 북측,구로구,서울특별시 구로구 항동 204-3 ,37.477562,126.819763,315.6,1578,1438,246,307,353,351,321
ST-606,606,606. 서울반도체고 앞,동대문구,서울특별시 노원구 하계동 271-5 ,37.637569,127.063156,314,1570,1714,259,314,406,300,291
ST-1347,1347,1347. 길음래미안아파트817동 상가 앞,성북구,서울특별시 성북구 보문로30길 29 보문2교,37.588699,127.018913,314,1570,1573,292,305,374,306,293
ST-2256,2256,2256.양재동 꽃시장 입구,서초구,서울특별시 은평구 진관동 81-2 ,37.634254,126.927193,313.4,1567,1546,302,294,326,317,328
ST-1646,1646,1646. 삼육대 입구,노원구,서울특별시 강서구 화곡로63가길 92 등촌9단지,37.562901,126.849472,313,1565,1557,305,293,382,304,281
ST-295,295,295.영등포공원 분수대 앞,영등포구,서울특별시 영등포구 당산로 222 당산디오빌 ,37.533421,126.902237,312.4,1562,1561,340,305,345,297,275
ST-2311,2311,2311. 학동로 래미안 아파트 앞,강남구,서울특별시 광진구 중곡동 165-9 ,37.563145,127.082619,312.2,1561,560,255,342,409,289,266
ST-2226,2226,2226. 신동아럭스빌아파트 앞,서초구,서울특별시 성북구 동소문로 98 제일은행 ,37.592365,127.016289,312.2,1561,308,337,345,313,265,301
ST-1703,1703,1703. 도봉산광역환승센터앞 ,도봉구,서울특별시 강남구 밤고개로21길 50 세곡동 성당,37.472969,127.112228,311.8,1559,1301,297,315,333,322,292
ST-2310,2310,2310. 청담동 맥도날드 옆(위치),강남구,서울특별시 광진구 화양동 24-33 ,37.54435,127.065407,310.8,1554,1542,321,306,371,292,264
ST-1819,1819,1819. 금천구청 앞 자전거거치대,금천구,서울특별시 종로구 명륜2가 133 ,37.584797,126.997131,310.4,1552,1614,310,362,293,260,327
ST-1865,1865,1865.금천구청앞(M빌딩),금천구,서울특별시 송파구 올림픽로47길 9 쌍용아파트 ,37.526814,127.118149,310.4,1552,1749,305,302,341,284,320
ST-1679,1679,1679. 삼육대 도서관,노원구,서울특별시 강남구 강남대로 324 역삼동 디오슈페리움 (우성아파트 사거리),37.492062,127.030746,310,1550,1071,281,201,465,297,306
ST-2143,2143,2143. 서울산업정보학교,관악구,서울특별시 서초구 과천대로 950-18 방배교회 ,37.475441,126.983284,309.4,1547,1501,288,300,367,300,292
ST-2649,2649,2649.오금공원사거리2,송파구,서울특별시 동작구 상도동25-41(마을버스정류소20803 옆) ,37.505432,126.941513,308.8,1544,1017,304,290,364,269,317
ST-1386,1386,1386.동선고가차도 초입,성북구,서울특별시 성북구 정릉로 272 정릉역,37.603096,127.013504,308.4,1542,1525,273,286,362,335,286
ST-1427,1427,1427. 용마산역 1번출구,중랑구,서울특별시 광진구 용마산로32길 32 중곡SK아파트앞,37.568649,127.08625,307.4,1537,930,282,230,367,342,316
ST-2203,2203,2203. 청계산입구역 2번출구,서초구,서울특별시 서대문구 신촌동 116-63 ,37.560265,126.936455,306.6,1533,904,306,256,308,337,326
ST-1007,1007,1007.암사동 선사유적지,강동구,서울특별시 양천구 남부순환로70길11-9 오솔길공원,37.52219,126.8367,306.6,1533,1650,321,334,397,290,191
